procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1      0 27148800 132356 2279836    0    0 26371   626 6968   16 10  5 84  1  0  0
 0  0      0 27055056 132400 2280272    0    0  1246   194 1431 3180  2  1 97  0  0  0
 0  0      0 26933384 132784 2341720    0    0 12280   326 1588 2857  3  1 96  0  0  0
 0  0      0 27161104 132792 2341724    0    0     0    34 2151 2407  2  1 97  0  0  0
 0  0      0 27190656 132800 2341748    0    0     0    94  864 1898  1  1 98  0  0  0
 0  0      0 27204624 132800 2341748    0    0     0     4 1192 2112  2  1 98  0  0  0
 1  0      0 27200464 132808 2341756    0    0     0     6  834 1849  1  1 98  0  0  0
 1  0      0 27205212 132840 2343172    0    0    52    31 3018 4925  5  2 93  0  0  0
 0  0      0 27205552 132876 2343404    0    0     0    58 1356 3266  2  1 97  0  0  0
 0  0      0 27215772 132900 2343208    0    0     0    74 1115 2307  1  1 98  0  0  0
 1  0      0 27214200 132908 2343212    0    0     0    39 1585 3346  3  1 97  0  0  0
 1  0      0 27219696 132916 2343352    0    0    10    42 1990 3433  3  1 96  0  0  0
 1  0      0 26829824 132952 2631928    0    0 57269    24 4275 8284  7  2 89  2  0  0
 1  0      0 25702004 132984 2861420    0    0 43655    47 3250 4360 12  1 86  1  0  0
 1  0      0 25525672 133024 2861604    0    0    26    76 2104 2748 13  0 86  0  0  0
 1  0      0 25232744 133160 2864716    0    0   407    45 2175 2794 14  1 86  0  0  0
 1  0      0 25229372 133160 2864848    0    0     0  3725 3391 4925 14  1 86  0  0  0
 1  0      0 25227056 133168 2864856    0    0     0    17 3409 4715 14  1 86  0  0  0
 1  0      0 25133536 141732 2922244    0    0  1710    19 3207 4966 14  1 85  0  0  0
 1  0      0 25105536 141740 2922504    0    0     0    49 3459 4891 14  1 86  0  0  0
 1  0      0 25072104 141748 2924576    0    0     0    27 3071 4824 14  1 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 25060924 141756 2925088    0    0     0    17 3415 4803 14  1 85  0  0  0
 1  0      0 25032012 141764 2925092    0    0     0     7 3486 4803 14  1 85  0  0  0
 2  0      0 25001428 141772 2926280    0    0     0    20 3029 4849 14  1 86  0  0  0
 2  0      0 24980080 141780 2926140    0    0     0    10 3349 4692 14  1 86  0  0  0
 1  0      0 24944336 141788 2926160    0    0     0    14 3085 4870 14  1 86  0  0  0
 1  0      0 24926624 141796 2928212    0    0     0    38 3557 4829 14  1 85  0  0  0
 1  0      0 24906244 141804 2928228    0    0     0    22 2987 4879 14  1 86  0  0  0
